year,sex,city,longitude,latitude,wing length,body mass,body size index,urbanization,annual temperature,annual precipitation
2014,Male,Shuangyashan,131.1576,46.6314,113,15.26,-0.013742635,79,3.97,49.27
2014,Male,Shuangyashan,131.1576,46.63095,113,14.66,-0.053854964,79,3.97,49.27
2014,Female,Shuangyashan,131.1576,46.63095,114,17.3,0.104634388,79,3.97,49.27
2014,Female,Shuangyashan,131.1579,46.63094,112,17.4,0.124650059,79,3.97,49.27
2014,Male,Shuangyashan,131.1579,46.63094,117.1666667,15.78,-0.009390869,79,3.97,49.27
2014,Male,Qiqihar,123.9785,47.33918,117.3333333,16.01,0.003934758,100,4.65,38.75
2014,Female,Qiqihar,123.9785,47.33918,113,16.31,0.052800756,100,4.65,38.75
2014,Male,Qiqihar,123.9784,47.33927,120.3333333,14.72,-0.100400747,100,4.65,38.75
2014,Female,Qiqihar,123.9784,47.33927,117.1666667,20.92,0.272571455,100,4.65,38.75
2014,Female,Qiqihar,123.9771,47.3398,119.1666667,19.06,0.165828923,100,4.65,38.75
2014,Male,Qiqihar,123.9771,47.3398,118.3333333,14.9,-0.074751105,100,4.65,38.75
2014,Male,Qiqihar,123.9771,47.33983,116.8333333,16.01,0.007373406,100,4.65,38.75
2014,Female,Qiqihar,123.9771,47.33983,118.3333333,18.56,0.14489641,100,4.65,38.75
2014,Female,Qiqihar,123.974,47.34094,114.6666667,19.57,0.223230521,100,4.65,38.75
2014,Male,Qiqihar,123.974,47.34094,118.8333333,13.72,-0.160652845,100,4.65,38.75
2014,Male,Qiqihar,123.9735,47.34091,116,13.57,-0.152214735,100,4.65,38.75
2014,Female,Qiqihar,123.9735,47.34091,110.8333333,15.18,-0.003409725,100,4.65,38.75
2014,Female,Qiqihar,123.9748,47.34192,114.1666667,16.75,0.071149789,100,4.65,38.75
2014,Male,Qiqihar,123.9748,47.34192,115.3333333,13.87,-0.125706952,100,4.65,38.75
2014,Male,Qiqihar,123.9734,47.34043,116,14.14,-0.111068548,100,4.65,38.75
2014,Male,Qiqihar,123.9776,47.33767,116,16.23,0.026785173,100,4.65,38.75
2014,Female,Qiqihar,123.9776,47.33767,117.8333333,20.51,0.24820978,100,4.65,38.75
2014,Female,Qiqihar,123.9784,47.33927,116.8333333,17.07,0.071482416,100,4.65,38.75
2014,Female,Qiqihar,123.9804,47.3398,115,16.99,0.079520331,100,4.65,38.44
2014,Male,Qiqihar,123.9804,47.3398,117,15.2,-0.045692542,100,4.65,38.44
2014,Male,Qiqihar,123.9724,47.33949,114.6666667,15.46,-0.012511217,100,4.65,38.75
2014,Female,Qiqihar,123.9724,47.33949,113.1666667,19.67,0.238930212,100,4.65,38.75
2014,Female,Qiqihar,123.9721,47.33923,118.8333333,16.94,0.050170222,100,4.65,38.75
2014,Female,Qiqihar,123.9736,47.34149,122,17.18,0.043062019,100,4.65,38.75
2014,Male,Qiqihar,123.9736,47.34149,117.8333333,15.72,-0.017769005,100,4.65,38.75
2014,Male,Qiqihar,123.9742,47.34152,116.3333333,14.12,-0.114794495,100,4.65,38.75
2014,Male,Lanzhou,103.7643,36.08772,126.8333333,16.35,-0.037740898,54,9.75,28.04
2014,Male,Lanzhou,103.7643,36.08772,118.5,15.48,-0.037696758,54,9.75,28.04
2014,Male,Lanzhou,103.7643,36.08772,123.3333333,16.07,-0.032482141,54,9.75,28.04
2014,Male,Lanzhou,103.7643,36.08772,116,16.04,0.015009394,54,9.75,28.04
2014,Female,Lanzhou,103.7643,36.08772,119.1666667,16.52,0.022808793,54,9.75,28.04
2014,Female,Lanzhou,103.7643,36.08772,124.1666667,15.79,-0.055481838,54,9.75,28.04
2014,Female,Lanzhou,103.7644,36.08738,119.1666667,17.96,0.106384087,54,9.75,28.04
2014,Male,Lanzhou,103.7644,36.08738,116.5,16.84,0.060217504,54,9.75,28.04
2014,Male,Lanzhou,103.7644,36.08738,119.1666667,17.26,0.06662871,54,9.75,28.04
2014,Female,Lanzhou,103.7644,36.08738,119.8333333,18.84,0.149727148,54,9.75,28.04
2014,Male,Lanzhou,103.7644,36.08738,121,16.78,0.026131127,54,9.75,28.04
2014,Female,Lanzhou,103.7641,36.08751,117,16.39,0.029683423,54,9.75,28.04
2014,Male,Lanzhou,103.7656,36.08741,119,16.55,0.025750092,54,9.75,28.04
2014,Female,Lanzhou,103.7656,36.08741,119.1666667,17.46,0.078149575,54,9.75,28.04
2015,Female,Qinhuangdao ,119.5948,39.92558,119.3333333,14.81,-0.087585734,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,114.8333333,15.39,-0.018218832,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,113,14.34,-0.075924826,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,115.6666667,18.26,0.146953834,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,115,14.89,-0.052414758,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,115,14.51,-0.078266538,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,114,16.09,0.032125847,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,116.1666667,14.88,-0.061214268,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,116.1666667,14.47,-0.089154757,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,115.1666667,13.58,-0.145672617,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,115,14.53,-0.076889128,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,113.3333333,15.45,-0.003740427,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,117,14.36,-0.102541407,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,113.3333333,14.8,-0.04672225,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,117.5,14.12,-0.122829497,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,111.6666667,16.69,0.085389639,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,112,17.18,0.111925769,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,116.5,15.23,-0.040272338,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,112.5,14.62,-0.053016402,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,107.8333333,15.46,0.036963251,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,112,14.36,-0.067373584,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,116.5,13.83,-0.136699359,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,113.1666667,15.8,0.01984552,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,118.8333333,14.58,-0.099856741,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,117,13.48,-0.165780865,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,119,14.18,-0.128803489,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,114.5,17.5,0.112604843,100,11.36,54.49
2015,Female,Qinhuangdao ,119.5948,39.92558,116.8333333,15.9,0.000478988,100,11.36,54.49
2015,Male,Qinhuangdao ,119.5948,39.92558,117.5,14.25,-0.113664822,100,11.36,54.49
